provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
30,49,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,56,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,77,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,84,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,88,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,91,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,98,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,105,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,113,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
42,14,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,49,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,42,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,77,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,84,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,91,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
42,154,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
74,7,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
74,14,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
74,49,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
74,63,2018,2,'la pampa-san luis arida',cria,335,170,488,152,165,29,17,65,59
6,7,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
