,pais_id,pais,provincia_id,provincia,departamento_id,departamento,prov_depto,año,mes,modelo,actividad,referencia,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),eficiencia_stock_(%),producción_(kg/ha),destete_(%),carga_(kg/ha)
69,32,Argentina,18,Corrientes,126,Saladas,18126,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
70,32,Argentina,18,Corrientes,140,San Luis Del Palmar,18140,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
71,32,Argentina,18,Corrientes,154,San Miguel,18154,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
72,32,Argentina,18,Corrientes,161,San Roque,18161,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
73,32,Argentina,82,Santa Fe,49,General Obligado,82049,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
74,32,Argentina,6,Buenos Aires,854,25 De Mayo,6854,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
75,32,Argentina,6,Buenos Aires,42,Ayacucho,6042,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
76,32,Argentina,6,Buenos Aires,49,Azul,6049,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
77,32,Argentina,6,Buenos Aires,119,Brandsen,6119,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
78,32,Argentina,6,Buenos Aires,134,Ca�uelas,6134,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
